Key,Triad,Roman Numeral
C major,C,I
C major,Dm,ii
C major,Em,iii
C major,F,IV
C major,G,V
C major,Am,vi
C major,Bo,viio
C major,D-,bII
C major,A-,bVI
G major,G,I
G major,Am,ii
G major,Bm,iii
G major,C,IV
G major,D,V
G major,Em,vi
G major,F#o,viio
G major,A-,bII
G major,E-,bVI
D major,D,I
D major,Em,ii
D major,F#m,iii
D major,G,IV
D major,A,V
D major,Bm,vi
D major,C#o,viio
D major,E-,bII
D major,B-,bVI
A major,A,I
A major,Bm,ii
A major,C#m,iii
A major,D,IV
A major,E,V
A major,F#m,vi
A major,G#o,viio
A major,B-,bII
A major,F,bVI
E major,E,I
E major,F#m,ii
E major,G#m,iii
E major,A,IV
E major,B,V
E major,C#m,vi
E major,D#o,viio
E major,F,bII
E major,C,bVI
B major,B,I
B major,C#m,ii
B major,D#m,iii
B major,E,IV
B major,F#,V
B major,G#m,vi
B major,A#o,viio
B major,C,bII
B major,G,bVI
F# major,F#,I
F# major,G#m,ii
F# major,A#m,iii
F# major,B,IV
F# major,C#,V
F# major,D#m,vi
F# major,E#o,viio
F# major,G,bII
F# major,D,bVI
F major,F,I
F major,Gm,ii
F major,Am,iii
F major,B-,IV
F major,C,V
F major,Dm,vi
F major,Eo,viio
F major,G-,bII
F major,D-,bVI
B- major,B-,I
B- major,Cm,ii
B- major,Dm,iii
B- major,E-,IV
B- major,F,V
B- major,Gm,vi
B- major,Ao,viio
B- major,C-,bII
B- major,G-,bVI
E- major,E-,I
E- major,Fm,ii
E- major,Gm,iii
E- major,A-,IV
E- major,B-,V
E- major,Cm,vi
E- major,Do,viio
E- major,F-,bII
E- major,C-,bVI
A- major,A-,I
A- major,B-m,ii
A- major,Cm,iii
A- major,D-,IV
A- major,E-,V
A- major,Fm,vi
A- major,Go,viio
A- major,B--,bII
A- major,F-,bVI
D- major,D-,I
D- major,E-m,ii
D- major,Fm,iii
D- major,G-,IV
D- major,A-,V
D- major,B-m,vi
D- major,Co,viio
D- major,E--,bII
D- major,B--,bVI
